state,map,district,metric,value,map_approved
AR,hb1961,03,vap_race_other,8.14,False
AR,hb1961,04,competitive,0.0,False
AR,hb1961,04,pvi,-39.8298126154869,False
AR,hb1961,04,vap_race_white,69.97,False
AR,hb1961,04,vap_race_black,19.23,False
AR,hb1961,04,vap_race_hispanic,5.49,False
AR,hb1961,04,vap_race_asian,0.8,False
AR,hb1961,04,vap_race_other,4.5,False
AR,hb1961,statewide,efficiency_gap,-21.3729316497276,False
AR,hb1961,statewide,median,-2.88749007449216,False
AR,hb1962,01,competitive,0.0,False
AR,hb1962,01,pvi,-52.9196796718669,False
AR,hb1962,01,vap_race_white,83.46,False
AR,hb1962,01,vap_race_black,6.16,False
AR,hb1962,01,vap_race_hispanic,4.29,False
AR,hb1962,01,vap_race_asian,0.96,False
AR,hb1962,01,vap_race_other,5.13,False
AR,hb1962,02,competitive,1.0,False
AR,hb1962,02,pvi,2.81404243528486,False
AR,hb1962,02,vap_race_white,52.95,False
AR,hb1962,02,vap_race_black,36.71,False
AR,hb1962,02,vap_race_hispanic,5.14,False
AR,hb1962,02,vap_race_asian,1.61,False
AR,hb1962,02,vap_race_other,3.6,False
AR,hb1962,03,competitive,0.0,False
AR,hb1962,03,pvi,-34.0096626811978,False
AR,hb1962,03,vap_race_white,75.66,False
AR,hb1962,03,vap_race_black,1.79,False
AR,hb1962,03,vap_race_hispanic,11.99,False
AR,hb1962,03,vap_race_asian,2.86,False
AR,hb1962,03,vap_race_other,7.7,False
AR,hb1962,04,competitive,0.0,False
AR,hb1962,04,pvi,-44.5887251688987,False
AR,hb1962,04,vap_race_white,74.21,False
AR,hb1962,04,vap_race_black,12.35,False
AR,hb1962,04,vap_race_hispanic,6.66,False
AR,hb1962,04,vap_race_asian,1.45,False
AR,hb1962,04,vap_race_other,5.34,False
AR,hb1962,statewide,efficiency_gap,2.90976511075648,False
AR,hb1962,statewide,median,-7.46278392504824,False
AR,hb1963,01,competitive,0.0,False
AR,hb1963,01,pvi,-44.7305421714767,False
AR,hb1963,01,vap_race_white,76.35,False
AR,hb1963,01,vap_race_black,15.58,False
AR,hb1963,01,vap_race_hispanic,3.11,False
AR,hb1963,01,vap_race_asian,0.7,False
AR,hb1963,01,vap_race_other,4.26,False
AR,hb1963,02,competitive,0.0,False
AR,hb1963,02,pvi,-14.9669141330886,False
AR,hb1963,02,vap_race_white,66.77,False
AR,hb1963,02,vap_race_black,20.82,False
AR,hb1963,02,vap_race_hispanic,5.81,False
AR,hb1963,02,vap_race_asian,1.75,False
AR,hb1963,02,vap_race_other,4.85,False
AR,hb1963,03,competitive,0.0,False
AR,hb1963,03,pvi,-28.8098173317931,False
AR,hb1963,03,vap_race_white,71.61,False
AR,hb1963,03,vap_race_black,2.79,False
AR,hb1963,03,vap_race_hispanic,13.9,False
AR,hb1963,03,vap_race_asian,3.57,False
AR,hb1963,03,vap_race_other,8.14,False
AR,hb1963,04,competitive,0.0,False
AR,hb1963,04,pvi,-40.8486284305659,False
AR,hb1963,04,vap_race_white,71.4,False
AR,hb1963,04,vap_race_black,17.77,False
AR,hb1963,04,vap_race_hispanic,5.39,False
AR,hb1963,04,vap_race_asian,0.88,False
AR,hb1963,04,vap_race_other,4.55,False
AR,hb1963,statewide,efficiency_gap,-21.3735598076159,False
AR,hb1963,statewide,median,-2.9928128811795,False
AR,sb721,01,competitive,0.0,False
AR,sb721,01,pvi,-41.8143327582419,False
AR,sb721,01,vap_race_white,77.05,False
AR,sb721,01,vap_race_black,13.6,False
AR,sb721,01,vap_race_hispanic,3.68,False
AR,sb721,01,vap_race_asian,0.95,False
AR,sb721,01,vap_race_other,4.73,False
AR,sb721,02,competitive,0.0,False
AR,sb721,02,pvi,-18.2389755655147,False
AR,sb721,02,vap_race_white,62.54,False
AR,sb721,02,vap_race_black,26.89,False
AR,sb721,02,vap_race_hispanic,5.44,False
AR,sb721,02,vap_race_asian,1.14,False
AR,sb721,02,vap_race_other,3.99,False
AR,sb721,03,competitive,0.0,False
AR,sb721,03,pvi,-33.8746755813289,False
AR,sb721,03,vap_race_white,75.51,False
AR,sb721,03,vap_race_black,1.8,False
AR,sb721,03,vap_race_hispanic,12.1,False
AR,sb721,03,vap_race_asian,2.87,False
AR,sb721,03,vap_race_other,7.72,False
AR,sb721,04,competitive,0.0,False
